,datetime,headline
76,2021-04-21 09:31:00,Apple Making Progressive Movements in Product Lines: IDC
78,2021-04-21 09:31:00,An Apple Event for These Pandemic Times
79,2021-04-21 09:31:00,Apple (AAPL) Dips More Than Broader Markets: What You Should Know
80,2021-04-21 09:31:00,Apple unveils £29 AirTag tracking devices to find lost keys
77,2021-04-21 09:31:00,Were Hedge Funds Right About Piling Into Apple Inc. (AAPL)?
99,2021-04-21 14:03:00,"Apple debuts iPad Pro with high-powered M1 chip, high-end display"
98,2021-04-21 14:12:00,"Apple Just Announced a New iPad, iMac, and AppleTV. Its Stock Is Still Down."
97,2021-04-21 14:44:00,"Apple puts its custom chips into colorful new iMacs, upgraded iPad Pro"
96,2021-04-21 14:47:00,"Apple debuts Apple TV 4K with improved remote, color balancing feature"
95,2021-04-21 14:55:00,"Apple Launches Redesigned iMac Desktop With Colors, Custom Chip"
94,2021-04-21 14:56:00,This chart shows the deluge of corporate spending on technology since 1980
93,2021-04-21 14:56:00,Apple reveals new products
92,2021-04-21 15:05:00,Apples M1 chip is where everything is going for the company: Analyst
91,2021-04-21 15:05:00,"Dow Jones Slumps 300 Points, But IBM Flashes Buy Signal; Apple Debuts New iMacs, iPad Pro Tablets"
90,2021-04-21 15:28:00,Apple launches paid-for podcast subscription service
89,2021-04-21 15:44:00,New iMac: Apple reveals colourful new desktop computers with its own chips inside
88,2021-04-21 16:00:00,New iPad Pro: Apple brings its M1 chip to its tablet during live event
87,2021-04-21 16:05:00,"Apple event: New iPad, iPhone colour, Apple TV, iMac and everything else announced during live launch video"
86,2021-04-21 16:08:00,"Apple Debuts AirTags Item Trackers, New iMacs, iPads At Spring Product Launch"
85,2021-04-21 16:11:00,Apples Big Crackdown on Digital Ad Tracking Hits Next Week
84,2021-04-21 16:26:00,"Apple Launching New iMac That Starts at $1,299"
83,2021-04-21 16:35:00,Stock Market Today: Investors Head for Safety Amid Another Selloff
82,2021-04-21 16:36:00,Apple Debuts Faster iPad Pro With Brighter Screen and 5G Option
81,2021-04-21 16:40:00,Netflix is still very much in play and ahead of the game: Santosh Rao
49,2021-04-22 09:31:00,UPDATE 1-Encrypted chat app Signal alleges flaws in Cellebrite equipment
50,2021-04-22 09:31:00,U.S. senators question Apple and Google on app store dominance
51,2021-04-22 09:31:00,Apple Accused of Power Grab in Senate App Store Hearing
52,2021-04-22 09:31:00,Whats on the Menu for Apples Spring Product Launch
53,2021-04-22 09:31:00,Is Peloton Stock A Buy Amid Treadmill Safety Concerns?
54,2021-04-22 09:31:00,Spotify Says Apple Is Abusing Power in the App Store
55,2021-04-22 09:31:00,"Apple and Google failing to keep underage users away from dating apps, says Tinder"
56,2021-04-22 09:31:00,"Intel Wins Trial Over Chips, Dodging $1 Billion-Plus Blow"
57,2021-04-22 09:31:00,Two Companies Will Reach $2 Trillion Next (Tesla Isn't One)
58,2021-04-22 09:31:00,Let's Take A Look At This Weeks Top Performing Sectors
84,2021-04-22 09:31:00,"Apple (AAPL) Unveils New iPad, iMac, AirTags, TV 4K & More"
85,2021-04-22 09:31:00,Derek Chauvin verdict sparks response from corporate America: 'Radical changes' still needed
86,2021-04-22 09:31:00,Wednesdays Pre-Market: Heres What You Need To Know Before The Market Opens
87,2021-04-22 09:31:00,Better Semiconductor Stock: ASML vs. TSMC
