,datetime,headline
96,2021-04-17 09:31:00,Alphabet Inc. (GOOG) Gains But Lags Market: What You Should Know
95,2021-04-17 09:31:00,Which of the 5 Biggest Tech Companies Is the Best Buy Now?
94,2021-04-17 09:31:00,7 Shocking Statistics About Big Tech Companies
93,2021-04-17 09:31:00,Inclusive democracy is good for the economy: BNY Mellon Wealth Management CEO
92,2021-04-17 09:31:00,These 3 Tech Stocks Are Building the Future
99,2021-04-17 14:08:00,Google Earth's timelapse feature puts a spotlight on climate change
91,2021-04-17 14:46:00,"Benzinga's Bulls And Bears Of The Week: Alphabet, Coinbase, GE, Quantumscape, Tesla And More"
98,2021-04-17 15:50:00,How to turn online gaming into a lucrative career: YouTube Fortnite sensation Lachlan Power
97,2021-04-17 16:37:00,GOP seeks to change regulations for big tech companies
90,2021-04-19 09:31:00,"GOP memo on Big Tech shows lawmakers ready to burn down the internet, legal expert warns"
89,2021-04-19 09:31:00,"Chinas Internet Stocks Face More Pain, Global Investors Say"
73,2021-04-20 09:31:00,Apple to Reinstate Parler; Google Offers Potential Return
72,2021-04-20 09:31:00,Daily Mail publisher launches lawsuit against Google
82,2021-04-20 09:31:00,"Google translation AI botches legal terms 'enjoin,' 'garnish' -research"
83,2021-04-20 09:31:00,The Biggest Risks to Big Tech's Continued Dominance
71,2021-04-20 09:31:00,"UK, German and Australian regulators unify against Big Tech"
85,2021-04-20 09:31:00,"Google translation AI botches legal terms 'enjoin,' 'garnish' -research"
86,2021-04-20 09:31:00,"3 Surefire Stocks to Invest $3,000 In Right Now"
87,2021-04-20 09:31:00,Alphabet Price Target Raised by J.P. Morgan on Fundamentals
88,2021-04-20 09:31:00,Gojek Co-CEO to Head App Giant After Merger With Tokopedia
84,2021-04-20 09:31:00,"Google translation AI botches legal terms 'enjoin,' 'garnish' -research"
81,2021-04-20 10:49:00,Is Google Stock A Buy? Internet Search Giant Could Finally Be Best FANG Stock In 2021
80,2021-04-20 11:25:00,UK intervenes in $40bn Nvidia-Arm deal on national security grounds
79,2021-04-20 11:58:00,Russian competition watchdog opens case against Google over YouTube curbs
78,2021-04-20 12:00:00,6 Giants You Should Watch
77,2021-04-20 12:48:00,"Alphabet Inc. (GOOG), A Top Performer in Alger Spectras Q1 2021 Portfolio"
76,2021-04-20 13:00:00,"Fitbit launches new fashion forward Fitbit Luxe tracker, its first under Google"
75,2021-04-20 13:18:00,Fitbit announces new Luxe tracker with thinnest touch screen yet
74,2021-04-20 16:32:00,"Senate to Call Spotify, Match at Apple, Google Antitrust Hearing"
69,2021-04-21 09:31:00,8 best wireless printers to upgrade your home office set-up
55,2021-04-21 09:31:00,"'Click to dial' ads tricking customers on Google, Which? warns"
56,2021-04-21 09:31:00,Alphabet (GOOGL) Stock Moves -0.47%: What You Should Know
70,2021-04-21 09:31:00,Morning Bell With Jim Cramer: Don't Buy the Dip in Peloton
68,2021-04-21 09:31:00,"What Are FANG Stocks, And Should You Invest In Them?"
67,2021-04-21 09:31:00,Why Coinbase Could Be the Google of Cryptocurrencies
66,2021-04-21 10:30:00,"Google, Apple To Testify At Senate's Antitrust Hearing With Spotify, Tile, Match As Witnesses"
65,2021-04-21 11:12:00,Daily Mail files antitrust lawsuit against Google
64,2021-04-21 11:15:00,Daily Mail owner sues Google for monopoly over ad business
63,2021-04-21 12:41:00,UPDATE 1-Daily Mail owner sues Google for monopoly over ad business
62,2021-04-21 13:25:00,Daily Mail owner sues Google for monopoly over ad business
61,2021-04-21 13:54:00,Daily Mail owner accuses Google of hiding Royals coverage as it files lawsuit
60,2021-04-21 14:03:00,"Apple debuts iPad Pro with high-powered M1 chip, high-end display"
59,2021-04-21 14:04:00,Were Hedge Funds Right About Betting On Alphabet Inc (GOOGL)?
58,2021-04-21 14:50:00,Daily Mail Owner Sues Google For Antitrust Practices Over Down Ranking UK Royal Family Coverage: WSJ
57,2021-04-21 16:06:00,Will Big-Tech Drive Indices to Record Highs in Q2?
50,2021-04-22 09:31:00,3 Cheap Cathie Wood Stocks to Buy Right Now
54,2021-04-22 09:31:00,Apple Targeted in $50 Million Ransomware Hack of Supplier Quanta
53,2021-04-22 09:31:00,"Korea Web Giant Naver Mulls U.S. Bond, IPO to Take on Google"
52,2021-04-22 09:31:00,Daily Mail owner sues Google over search results
51,2021-04-22 09:31:00,Facebook has a lot more work to do to bring non-white people into leadership positions: Carolyn Everson
49,2021-04-22 09:31:00,"The Big Tech Stocks Could Fall, if History Is Any Guide"
47,2021-04-22 09:31:00,"Israel picks Amazon's AWS, Google for flagship cloud project"
32,2021-04-22 09:31:00,"Apple and Google let underage users on dating apps, says Tinder"
29,2021-04-22 09:31:00,U.S. senators question Apple and Google on app store dominance
48,2021-04-22 09:31:00,"Israel picks Amazon's AWS, Google for flagship cloud project"
31,2021-04-22 09:31:00,UiPath Rises in Trading Debut After $1.3 Billion Software IPO
30,2021-04-22 09:31:00,Apple Accused of Power Grab in Senate App Store Hearing
46,2021-04-22 09:31:00,UK enjoying 'roaring' comeback as economy reopens
45,2021-04-22 10:16:00,"Best mobile phone deals in the UK for April 2021: Sales on iPhone, Samsung, Google Pixel and more"
44,2021-04-22 10:23:00,What's in the Offing for Alphabet's (GOOGL) Q1 Earnings?
43,2021-04-22 10:55:00,Top antitrust U.S. senator says Apple's AirTags news is 'timely'
42,2021-04-22 11:06:00,U.S. senators question Apple and Google on app store dominance
41,2021-04-22 11:11:00,Alphabet Shares Should Continue to Live Higher
40,2021-04-22 11:51:00,Google Turmoil Exposes Cracks Long in Making for Top AI Watchdog
39,2021-04-22 14:17:00,FTC Nominee Khan Calls for More Scrutiny of Tech Giants Power
38,2021-04-22 15:01:00,Jim Cramer: I Laugh When I Hear That FAANG Stocks Are Dead
37,2021-04-22 15:45:00,"Senate hearing on app stores puts Apple, Google under regulatory spotlight"
36,2021-04-22 15:51:00,"Spotify, Match Tell Senate Apple Is Abusing Power in App Store"
35,2021-04-22 16:00:00,Daily Mail publisher accuses Google of manipulating search results and rigging online ad auctions
34,2021-04-22 16:09:00,Why analysts are bullish on Apple stock
33,2021-04-22 16:25:00,Small businesses 'had to become digital' amid COVID-19: Facebook VP
10,2021-04-23 09:31:00,Facebook (FB) to Report Q1 Earnings: What's in the Cards?
11,2021-04-23 09:31:00,FAANG Bites: When to Buy FAANG Stocks Like Netflix
12,2021-04-23 09:31:00,Facebook taking very aggressive measures to remove vaccine misinformation: Carolyn Everson
13,2021-04-23 09:31:00,3 Robinhood Stocks That Cathie Woods Owns -- and You Should Too
14,2021-04-23 09:31:00,Xis Next Target in Tech Crackdown Is Chinas Vast Reams of Data
15,2021-04-23 09:31:00,Xiaomi Said to Mull Investing in AI Chipmaker Black Sesame
16,2021-04-23 09:31:00,Alphabet Inc. (GOOG) Dips More Than Broader Markets: What You Should Know
23,2021-04-23 09:31:00,"Apple, Google Face Antitrust Charges At Senate Hearing: WSJ"
24,2021-04-23 09:31:00,"Apple, Google Face More Scrutiny Over Distribution Platforms"
25,2021-04-23 09:31:00,"Dow Jones Futures, Bitcoin Fall After Stock Market Rally Rebounds, Tesla, Square Find Support; Chipotle, Lam Research, Cleveland-Cliffs, HCA Top Views"
26,2021-04-23 09:31:00,7 Reasons I'm Not Lovin' AppLovin's IPO
27,2021-04-23 09:31:00,The Trade Desk Is Accelerating Out of the Pandemic
28,2021-04-23 09:31:00,Big Tech $100 Billion Foreign-Profit Hoard Targeted by Tax Plan
9,2021-04-23 10:18:00,3 Reasons Netflix Should Get Into Advertising
22,2021-04-23 10:20:00,Influencers with Andy Serwer: Carolyn Everson
8,2021-04-23 11:04:00,Alphabets Wing Seeks Expanded U.S. Drone Flight Permissions
21,2021-04-23 11:20:00,These Are The Best Robinhood Stocks To Buy Or Watch Now
20,2021-04-23 11:20:00,President Biden's Tax Proposal Targets Big Tech's $100B Overseas Profit: Bloomberg
7,2021-04-23 11:50:00,"Google, Amazon Hike Lobbying Efforts Amid Growing Antitrust Probe: Bloomberg"
19,2021-04-23 11:50:00,"Alphabet Could Hit New All-Time High on Strong Q1 Earnings; Target Price $2,461"
6,2021-04-23 11:54:00,Is Fastly Stock a Buy?
5,2021-04-23 12:25:00,Tech Support: iOS 14.5 updates explained
18,2021-04-23 12:41:00,Should You Invest in Alphabet Inc. (GOOG)?
17,2021-04-23 12:53:00,"For Alphabet, Cloud Moves Slowly As The Ad Arena Heats Up Ahead Of Q1 Earnings"
4,2021-04-23 12:54:00,Googles earnings expected to be bright despite dark antitrust clouds
3,2021-04-23 13:03:00,"What Rickie Fowler, one of golf's most popular players, thinks about sport's new $40 million bonus pool"
2,2021-04-23 13:50:00,Apple to Launch Program for Employees to Get Covid-19 Shots
1,2021-04-23 14:59:00,Companies taking new steps to combat worker burnout
0,2021-04-23 15:29:00,Apple IOS 14.5 is bringing big changes to your iPhone  here's what to expect
21,2021-04-24 09:31:00,SoftBank SPAC Said to Be in Talks for Vision Fund-Backed Mapbox
22,2021-04-24 09:31:00,Google to tie bosses' pay to environment and diversity goals
36,2021-04-24 09:31:00,Facebook (FB) to Report Q1 Earnings: What's in the Cards?
23,2021-04-24 09:31:00,Alphabet to Introduce Executive Bonuses Partly Tied to ESG Goals
38,2021-04-24 09:31:00,Facebook taking very aggressive measures to remove vaccine misinformation: Carolyn Everson
41,2021-04-24 09:31:00,Xiaomi Said to Mull Investing in AI Chipmaker Black Sesame
40,2021-04-24 09:31:00,Xis Next Target in Tech Crackdown Is Chinas Vast Reams of Data
39,2021-04-24 09:31:00,3 Robinhood Stocks That Cathie Woods Owns -- and You Should Too
37,2021-04-24 09:31:00,FAANG Bites: When to Buy FAANG Stocks Like Netflix
35,2021-04-24 10:18:00,3 Reasons Netflix Should Get Into Advertising
34,2021-04-24 11:04:00,Alphabets Wing Seeks Expanded U.S. Drone Flight Permissions
33,2021-04-24 11:50:00,"Google, Amazon Hike Lobbying Efforts Amid Growing Antitrust Probe: Bloomberg"
32,2021-04-24 11:54:00,Is Fastly Stock a Buy?
31,2021-04-24 12:25:00,Tech Support: iOS 14.5 updates explained
30,2021-04-24 12:54:00,Googles earnings expected to be bright despite dark antitrust clouds
29,2021-04-24 13:03:00,"What Rickie Fowler, one of golf's most popular players, thinks about sport's new $40 million bonus pool"
28,2021-04-24 13:50:00,Apple to Launch Program for Employees to Get Covid-19 Shots
27,2021-04-24 14:59:00,Companies taking new steps to combat worker burnout
26,2021-04-24 15:01:00,Alphabet's Wing In Pursuit FAA Relaxations For Drone Flight
25,2021-04-24 15:29:00,Apple IOS 14.5 is bringing big changes to your iPhone  here's what to expect
24,2021-04-24 16:32:00,Previewing Big Tech Earnings
17,2021-04-25 09:31:00,"US tech and UK banks head earnings bonanza, Fed rate meeting"
18,2021-04-25 09:31:00,Luxury Rental Searches Hit All-Time Highs: Should You Invest?
20,2021-04-25 09:31:00,"As Competition Heats Up, Intel's Data Center Sales Plunge 20%"
19,2021-04-25 09:31:00,These 3 Growth Stocks Are Down Over 40%: Here's Why They're Great Buys Right Now
2,2021-04-26 09:31:00,E-commerce outlook: 'Genie never goes back' into the (shampoo) bottle
3,2021-04-26 09:31:00,"Alphabet CEO Pichai's base salary more than triples, but total compensation plunges to $7.4 million"
4,2021-04-26 09:31:00,What to expect from big tech earnings this week
5,2021-04-26 09:31:00,"Roku Says YouTube TV May Get Dropped, Accusing Google of Anticompetitive Behavior"
6,2021-04-26 09:31:00,NVIDIA's Bid for Arm Still Needs to Clear These 5 Hurdles
7,2021-04-26 09:31:00,"Dow Jones Futures: Bitcoin Rebounds, Apple, Tesla Lead Huge Earnings In Pivotal Stock Market Week"
8,2021-04-26 09:31:00,"Apple, Amazon, Google, Tesla and Spotify are part of Zacks Earnings Preview"
10,2021-04-26 09:31:00,"The Zacks Analyst Blog Highlights: Facebook, Apple, Google and Snap"
11,2021-04-26 09:31:00,Arsenal's new owner? Meet Spotify billionaire Daniel Ek
12,2021-04-26 09:31:00,Apples privacy update shows the massive power of small design changes
13,2021-04-26 09:31:00,Apple deals blow to Facebook as it rolls out new privacy update
14,2021-04-26 09:31:00,"The Big Tech Stocks Could Fall, if History Is Any Guide"
15,2021-04-26 09:31:00,Tesla and Big Tech are about to rev up the busiest week of earnings season
16,2021-04-26 09:31:00,"Earnings to Watch Next Week: Tesla, Alphabet, Microsoft, Facebook, Apple and Amazon.com in Focus"
9,2021-04-26 09:31:00,"The Zacks Analyst Blog Highlights: Apple, Amazon, Google and Spotify"
1,2021-04-26 10:28:00,These Are The Best Robinhood Stocks To Buy Or Watch Now
0,2021-04-26 10:48:00,Google Stock Momentum Will Be Tested In First Quarter Earnings Report
16,2021-04-27 09:31:00,Alphabet Reports Earnings Tuesday. Here Is What to Expect.
13,2021-04-27 09:31:00,"Amid labor strife, Google opposes shareholder call for whistleblower-policy review"
12,2021-04-27 09:31:00,Lyft to Sell Self-Driving Unit in $550 Million Toyota Deal
11,2021-04-27 09:31:00,How to Make Money with YouTube (GOOG)
10,2021-04-27 09:31:00,"Tesla, AMD, Google, General Electric - 5 Things You Must Know Tuesday"
9,2021-04-27 09:31:00,21 Most Popular Social Media Platforms in 2021
8,2021-04-27 09:31:00,Google Pressured on Racial Equity Audit After AI Ethics Collapse
7,2021-04-27 09:31:00,"Amazon to Pass Walmart in U.S. Retail Sales in 2025, Report Says"
6,2021-04-27 09:31:00,Adobe Sees Sales Opportunity in the Death of the Browser Cookie
5,2021-04-27 09:31:00,Earnings Season in Full Swing
14,2021-04-27 09:31:00,How Apples iOS 14.5 update is shaking up the app economy
29,2021-04-27 09:31:00,E-commerce outlook: 'Genie never goes back' into the (shampoo) bottle
30,2021-04-27 09:31:00,"Alphabet CEO Pichai's base salary more than triples, but total compensation plunges to $7.4 million"
31,2021-04-27 09:31:00,What to expect from big tech earnings this week
32,2021-04-27 09:31:00,"Roku Says YouTube TV May Get Dropped, Accusing Google of Anticompetitive Behavior"
33,2021-04-27 09:31:00,NVIDIA's Bid for Arm Still Needs to Clear These 5 Hurdles
34,2021-04-27 09:31:00,"Apple, Amazon, Google, Tesla and Spotify are part of Zacks Earnings Preview"
35,2021-04-27 09:31:00,"The Zacks Analyst Blog Highlights: Apple, Amazon, Google and Spotify"
15,2021-04-27 09:31:00,Roku Stock Jumps as Investors Shrug Off Dispute with Google
39,2021-04-27 09:31:00,Apple deals blow to Facebook as it rolls out new privacy update
38,2021-04-27 09:31:00,Apples privacy update shows the massive power of small design changes
36,2021-04-27 09:31:00,"The Zacks Analyst Blog Highlights: Facebook, Apple, Google and Snap"
4,2021-04-27 10:01:00,Will International User Growth Aid Facebook's (FB) Q1 Earnings?
3,2021-04-27 11:02:00,Alphabet Q1 earnings set to show reopenings fueled advertising sales resurgence
28,2021-04-27 11:10:00,Big Tech Q1 Earnings Look Strong: ETFs to Play
2,2021-04-27 11:20:00,ADT Sues Amazons Ring Over Brazen Copies of Blue Octagon
1,2021-04-27 11:39:00,These Are The Best Robinhood Stocks To Buy Or Watch Now
0,2021-04-27 11:45:00,"Dow Jones Falls As Tesla Skids On Earnings; Tech Giants Alphabet, AMD, Microsoft Set To Report"
27,2021-04-27 12:02:00,"Microsoft Profit, Tesla Reaction, Consumer Confidence: 3 Things to Watch"
25,2021-04-27 12:05:00,"S&P 500, Nasdaq Close at Record Ahead of Market Moving Earnings"
26,2021-04-27 12:05:00,Roku Threatens To Blackout YouTube TV Over Anticompetitive Dispute: Bloomberg
24,2021-04-27 12:13:00,Roku may lose YouTube TV app over what it deems anti-competitive demands from Google
23,2021-04-27 12:47:00,Should You Consider Investing in Alphabet Inc. (GOOG)?
22,2021-04-27 13:17:00,Roku Battles Google Over YouTube TV
21,2021-04-27 14:15:00,Coronavirus update: New masking guidelines likely; India's staggering case surge
20,2021-04-27 14:39:00,Gaming apps set to be hardest hit by Apple iOS 14.5 tracking crackdown
19,2021-04-27 14:55:00,Google (Alphabet) Earnings: What to Look for from GOOGL
18,2021-04-27 16:03:00,Apple Pledges $1 Billion for New North Carolina Engineering Hub
17,2021-04-27 16:18:00,Google Stock Momentum Will Be Tested In First-Quarter Earnings Report
27,2021-04-28 09:31:00,"UPDATE 1-Regulation may be needed for Apple, Google app stores if changes not made - Australian regulator"
14,2021-04-28 09:31:00,Googles contact-tracing system has left data accessible to hundreds of apps for months
13,2021-04-28 09:31:00,"Dow Jones Futures: Microsoft, Google, AMD Lead Earnings Movers In Stock Market Rally; Tesla Tests Support"
12,2021-04-28 09:31:00,Is Vuzix a Top Augmented Reality Stock?
11,2021-04-28 09:31:00,"Mattel, Alarm.com, Google, Microsoft and Starbucks highlighted as Zacks Bull and Bear of the Day"
10,2021-04-28 09:31:00,3 Investing Tips for People Who Don't Follow the Market
9,2021-04-28 09:31:00,Which laptop should I buy? Heres our guide to choosing the model thats right for you
8,2021-04-28 09:31:00,"Alphabet Pops 4% After A Blowout Quarter, Google Cloud & Ad Revenues Outperform"
7,2021-04-28 09:31:00,Google battles landmark UK class action over alleged iPhone tracking
28,2021-04-28 09:31:00,"Regulation may be needed for Apple, Google app stores if changes not made - Australian regulator"
64,2021-04-28 09:31:00,Earnings Season in Full Swing
65,2021-04-28 09:31:00,Adobe Sees Sales Opportunity in the Death of the Browser Cookie
