,datetime,headline
99,2021-04-21 09:31:00,UPDATE 3-J&J reports $100 mln in vaccine sales as results top forecasts
59,2021-04-21 09:31:00,Johnson & Johnson Rises on 1st-Quarter Earnings Beat
60,2021-04-21 09:31:00,Covid-19 vaccines arent making any money for Johnson & Johnson
61,2021-04-21 09:31:00,"Key Decisions Coming on Products From Vertex, AstraZeneca and Other Pharmas"
88,2021-04-21 09:31:00,"J&J (JNJ) Q1 Earnings Top, COVID-19 Vaccine Brings $100M Sales"
89,2021-04-21 09:31:00,How Johnson & Johnson Beat Expectations in Q1
90,2021-04-21 09:31:00,Johnson & Johnson CFO: COVID vaccine 'on track' after blood clot scare
98,2021-04-21 09:31:00,"J&J beats profit and sales expectations, boosts dividend; COVID-19 vaccine adds $100 million to sales"
92,2021-04-21 09:31:00,Johnson & Johnson Just Reported Earnings. This Number Is Critical.
96,2021-04-21 09:31:00,Pfizer (PFE)/ BioNTech to Supply Extra Comirnaty Doses to EU
97,2021-04-21 09:31:00,UPDATE 1-J&J seeks approval to conduct local trial of its COVID-19 vaccine in India
95,2021-04-21 09:31:00,Johnson & Johnson (JNJ) Beats Q1 Earnings and Revenue Estimates
91,2021-04-21 09:31:00,J&J stands ready to roll out COVID-19 vaccine in Europe
94,2021-04-21 09:31:00,Warren Buffett Owns These 5 Dividend Aristocrats. Should You?
93,2021-04-21 09:31:00,"The Zacks Analyst Blog Highlights: Johnson & Johnson, Verizon, Dow, American Express and Honeywell"
87,2021-04-21 10:26:00,"UPDATE 3-EU regulator backs J&J shot, finds possible link to clots"
86,2021-04-21 10:27:00,"Johnson & Johnson vaccine should get blood-clot warning, European agency says"
85,2021-04-21 10:31:00,"P&G, J&J Beat on Earnings, Drop in Pre-Market"
84,2021-04-21 10:32:00,"US STOCKS-S&P 500, Dow slip as focus turns to tech earnings"
83,2021-04-21 10:33:00,COVID vaccine 'on track' after blood clot scare: Johnson & Johnson CFO
82,2021-04-21 10:48:00,Better-than-Expected Corporate Earnings
