,datetime,headline
99,2021-04-14 09:31:00,"Evercore Having Big M&A Week With Grab, Microsoft Deals"
93,2021-04-14 09:31:00,3 e-Learning Stocks to Leverage EduTech Concept Amid Coronavirus
94,2021-04-14 09:31:00,"Tech Stocks Roundup: Jim Cramer on Microsoft, Okta, Nvidia"
98,2021-04-14 09:31:00,TikTok Founder's $60 Billion Fortune Places Him Among The World's Richest People
96,2021-04-14 09:31:00,Here's Why I Think Microsoft (NASDAQ:MSFT) Might Deserve Your Attention Today
97,2021-04-14 09:31:00,SAP Jumps After Lifting Full-Year Guidance on Cloud Business
95,2021-04-14 09:31:00,"Bitcoin hit $1trn market cap faster than Apple, Amazon and Google"
92,2021-04-14 12:03:00,"Dow Jones Rallies, Tech Stocks Slide As Earnings Season Kicks Off; Tesla Reverses Lower, Coinbase IPO Set To Soar 40%"
91,2021-04-14 12:08:00,"NUANCE COMMUNICATIONS ALERT: Bragar Eagel & Squire, P.C. Investigates Sale of NUAN and Encourages Investors to Contact the Firm"
90,2021-04-14 12:29:00,14 Best Cloud Computing Stocks To Invest In
89,2021-04-14 15:56:00,Nvidia's first data-center CPU could soften the blow if its $40B quest to buy ARM collapses
88,2021-04-14 16:10:00,10 Best NASDAQ Stocks to Buy Now
87,2021-04-14 16:28:00,'I think the market is going to take a break here for a while': Annandale Capital CEO
86,2021-04-14 16:42:00,The Big Macro
83,2021-04-16 09:31:00,Better Buy: Microsoft vs. Alphabet
79,2021-04-16 09:31:00,Walmart Joins a Multibillion-Dollar Investment in Self-Driving Cars
85,2021-04-16 09:31:00,2 Top Cloud Computing Stocks to Buy in 2021
84,2021-04-16 09:31:00,4 GARP Stocks for a Winning Portfolio
82,2021-04-16 10:07:00,10 Best Software Stocks To Buy According To Billionaire Chase Coleman
81,2021-04-16 12:18:00,"Microsoft launches Edge Kids Mode, the first kid-friendly version of a major web browser"
80,2021-04-16 14:54:00,3 Big Data Stocks To Watch Today
69,2021-04-17 09:31:00,7 Shocking Statistics About Big Tech Companies
70,2021-04-17 09:31:00,Which of the 5 Biggest Tech Companies Is the Best Buy Now?
71,2021-04-17 09:31:00,Apple and Microsoft: Buy Biggest Tech Stocks Ahead of Earnings?
76,2021-04-17 09:31:00,Dow Jones Futures Rise As Treasury Yields Rebound Fades After Stock Market Rally; 3 Giants Flash Buy Signals
78,2021-04-17 09:31:00,Final Fantasy Maker Jumps on Report It Could Be M&A Target
77,2021-04-17 09:31:00,"Zacks.com featured highlights include: East West Bancorp, HCA Healthcare, Microsoft and T. Rowe Price"
74,2021-04-17 10:00:00,Next 5 Recommendations for Our April Fool's Portfolio!
75,2021-04-17 10:00:00,Better Buy: Amazon vs. Microsoft
73,2021-04-17 13:58:00,Lego is an all-star when it comes to reputation: The RepTrak Company CEO
72,2021-04-17 15:04:00,Square Enix Stock Gains On Takeover Rumors: Bloomberg
68,2021-04-17 15:33:00,SolarWinds hacking campaign puts Microsoft in the hot seat
67,2021-04-19 09:31:00,3 Stocks That Could Be the Next Trillion-Dollar Tech Giants
66,2021-04-19 09:31:00,"Facebook to Soon Announce Social Audio Products, Recode Says"
65,2021-04-19 09:31:00,Zoom seeks to stay ahead of Microsoft with $100m for start-ups
64,2021-04-19 09:31:00,"Chinas Internet Stocks Face More Pain, Global Investors Say"
63,2021-04-19 09:31:00,Indias Razorpay Triples Valuation to $3 Billion With Funding
50,2021-04-20 09:31:00,Microsoft (MSFT) Dips More Than Broader Markets: What You Should Know
62,2021-04-20 09:31:00,Microsoft to invest $1 billion in Malaysia to set up data centres - Malaysian PM
61,2021-04-20 09:31:00,The Biggest Risks to Big Tech's Continued Dominance
49,2021-04-20 09:31:00,IBM Shares Jump on Biggest Revenue Growth Since 2018
60,2021-04-20 10:22:00,Bill Gates Top 10 High Dividend Stocks
59,2021-04-20 11:25:00,UK intervenes in $40bn Nvidia-Arm deal on national security grounds
58,2021-04-20 12:02:00,"Microsoft Unveils Xbox Cloud Gaming for Windows 10 PCs, iOS"
57,2021-04-20 12:26:00,"Microsoft to test Xbox cloud gaming on PCs, Apple mobile devices"
56,2021-04-20 12:27:00,Xbox to bring console games to iPhone with launch of new cloud service
55,2021-04-20 12:42:00,"Microsoft to test Xbox cloud gaming on PCs, Apple mobile devices"
54,2021-04-20 13:00:00,"Facebook Pushes Into Audio to Compete With Clubhouse, Twitter"
53,2021-04-20 14:26:00,"Top Stock Reports for Microsoft, JPMorgan & Honeywell"
52,2021-04-20 15:23:00,Is Shopify Stock A Buy As New Chart Pattern Forms?
51,2021-04-20 16:11:00,DocuSign Rival Adobe Stock Breaks Out After Inking Deal With All 50 States
48,2021-04-21 09:31:00,"The Zacks Analyst Blog Highlights: Microsoft, JPMorgan, Honeywell International, Novo Nordisk and Starbucks"
37,2021-04-21 09:31:00,Discord ends sale talks with Microsoft - sources
38,2021-04-21 09:31:00,Chat App Discord Ends Takeover Talks With Microsoft
47,2021-04-21 12:02:00,Dow Jones Sells Off As Apple Slides Ahead Of 'Spring Loaded' Event; Tesla Jumps On Price Target Boost
46,2021-04-21 12:21:00,Is Microsoft Corporation (MSFT) A Smart Long-Term Buy?
45,2021-04-21 13:29:00,Discord ends sale talks with Microsoft - sources
44,2021-04-21 13:40:00,UPDATE 2-Discord ends sale talks with Microsoft - sources
43,2021-04-21 13:45:00,Apple debuts incredibly thin iMac with M1 chip
42,2021-04-21 13:55:00,Were Hedge Funds Right About Snapping Up Microsoft Corporation (MSFT)?
41,2021-04-21 14:01:00,"Discord ends talks with potential buyers, including Microsoft"
40,2021-04-21 14:03:00,"Apple debuts iPad Pro with high-powered M1 chip, high-end display"
39,2021-04-21 16:06:00,Will Big-Tech Drive Indices to Record Highs in Q2?
36,2021-04-22 09:31:00,Facebook has a lot more work to do to bring non-white people into leadership positions: Carolyn Everson
35,2021-04-22 09:31:00,"Tech Stocks Roundup: AppLovin Nasdaq Debut, Peloton Slumps"
34,2021-04-22 09:31:00,5 Sustainable Stocks to Snap Up Ahead of Earth Day
33,2021-04-22 09:31:00,"Dow Jones Futures: Netflix Dives On Subscriber Miss, Chip Giant ASML Rallies After Market Retreat Slams Leaders"
32,2021-04-22 09:31:00,"Messaging App Discord Calls Off Talks With Microsoft, Others"
31,2021-04-22 09:31:00,Here's How Microsoft (MSFT) Looks Ahead of Q3 Earnings Release
30,2021-04-22 09:31:00,Derek Chauvin verdict sparks response from corporate America: 'Radical changes' still needed
21,2021-04-22 09:31:00,Microsoft President on the company's investments in carbon removal
22,2021-04-22 09:31:00,Two Companies Will Reach $2 Trillion Next (Tesla Isn't One)
29,2021-04-22 10:20:00,"10 best tablets for drawing, gaming and films"
28,2021-04-22 11:51:00,Google Turmoil Exposes Cracks Long in Making for Top AI Watchdog
27,2021-04-22 12:32:00,Romanian Programmer Turns Crazy Idea Into $6 Billion Fortune
26,2021-04-22 13:35:00,Microsoft Earnings Next Week Could Drive the Stock to a New Record
25,2021-04-22 15:05:00,Why Microsoft Wants to Buy Nuance
24,2021-04-22 16:25:00,Small businesses 'had to become digital' amid COVID-19: Facebook VP
23,2021-04-22 16:51:00,Quisitive Technology Posts 169% Revenue Growth For Full Year 2020
6,2021-04-23 09:31:00,Is BlackLine a Buy?
7,2021-04-23 09:31:00,"Salesforce, Credit Suisse among UK's highest paying companies"
8,2021-04-23 09:31:00,Microsofts Big Deal and Coinbases Big Debut
13,2021-04-23 09:31:00,"Azure, Teams & Xbox Adoption to Aid Microsoft (MSFT) Q3 Earnings"
5,2021-04-23 09:31:00,Should you buy Microsoft stock? Here are the key numbers to look at now
14,2021-04-23 09:31:00,Market Structure Edge's Quast Tells Benzinga the Shorts Pre-Told Microsoft's Acquisition of Nuance
16,2021-04-23 09:31:00,Don't Touch GameStop Until This Happens
17,2021-04-23 09:31:00,"Famous T. Rowe Price Fund Takes New Name, Targets More Cyclical Stocks"
18,2021-04-23 09:31:00,Big Tech $100 Billion Foreign-Profit Hoard Targeted by Tax Plan
19,2021-04-23 09:31:00,"Facebook has very, very big plans on digital payments through its platform: Facebook VP"
20,2021-04-23 09:31:00,Jaguar Land Rover to suspend production at UK plants amid computer chip shortage
15,2021-04-23 09:31:00,Tesla Is Not One Of Two Companies That Will Reach $2 Trillion Next
4,2021-04-23 09:31:00,"Stock Market News for Apr 23, 2021"
3,2021-04-23 10:07:00,Intel has 'some challenging times ahead' amid chip shortage: analyst
2,2021-04-23 10:15:00,Where to buy Xbox Series X: Restock updates and how to pre-order Microsofts newest Xbox console in the UK
1,2021-04-23 10:18:00,"Rockefeller Capital: Microsoft, Verizon Top Plays For Earth Day"
12,2021-04-23 10:20:00,Influencers with Andy Serwer: Carolyn Everson
11,2021-04-23 11:20:00,President Biden's Tax Proposal Targets Big Tech's $100B Overseas Profit: Bloomberg
10,2021-04-23 11:26:00,What the chip shortage means for the US economy
0,2021-04-23 13:41:00,Biden administration's $50 billion to help end chip shortage 'is a great first step': Intel CEO
9,2021-04-23 16:16:00,"As Microsoft Buys Nuance, Here's How To Profit From Exponential Growth In Robotics And AI"
14,2021-04-23 16:32:00,Previewing Big Tech Earnings
13,2021-04-24 09:31:00,Microsoft Investing Big in Foreign Data Centers: Should U.S. Investors Be Concerned?
12,2021-04-24 09:31:00,3 Growth ETFs to Hold for Decades
11,2021-04-25 09:31:00,"Earnings to Watch Next Week: Tesla, Alphabet, Microsoft, Facebook, Apple and Amazon.com in Focus"
10,2021-04-25 09:31:00,"Giant Investor Bought EV Stocks Tesla and NIO, and Microsoft. Heres What It Sold."
9,2021-04-25 09:31:00,Tesla and Big Tech are about to rev up the busiest week of earnings season
8,2021-04-26 09:31:00,"Tesla, Microsoft, Bitcoin, 'Nomadland' - 5 Things You Must Know Monday"
7,2021-04-26 09:31:00,Tesla Earnings Kick Off Busy Earnings Week
6,2021-04-26 09:31:00,Top 30 Video Games of All Time
5,2021-04-26 09:31:00,"Dow Jones Futures: Bitcoin Rebounds, Apple, Tesla Lead Huge Earnings In Pivotal Stock Market Week"
4,2021-04-26 09:31:00,"Stock Market News for Apr 26, 2021"
3,2021-04-26 09:31:00,Global chip shortage hit these 169 industries: GS
2,2021-04-26 10:00:00,"Dow Jones Today, Nasdaq Jump As Boeing, AmEx Rise; Mining Stocks Rally As Copper Nears 10-Year High"
1,2021-04-26 11:11:00,The FBI just got permission to break into private computers without consent so it can fight hackers
0,2021-04-26 11:13:00,"Dow Rallies As Bitcoin Surges Above $54,000; Tesla Jumps Before Earnings, While Coinbase Climbs"
19,2021-04-26 11:26:00,"Dow Jones Rallies As Bitcoin Surges Above $54,000; Tesla Jumps Before Earnings, While Coinbase Climbs"
18,2021-04-26 12:02:00,"Microsoft Profit, Tesla Reaction, Consumer Confidence: 3 Things to Watch"
17,2021-04-26 12:51:00,Microsoft Earnings: What to Look for from MSFT
16,2021-04-26 13:25:00,Microsoft Nears $2 Trillion Market Cap. Earnings Are Tuesday.
15,2021-04-26 14:15:00,Coronavirus update: New masking guidelines likely; India's staggering case surge
