,datetime,headline
99,2021-04-17 09:31:00,"Splunk Slips, Sunrun Rises, and Stocks Are Up"
83,2021-04-17 09:31:00,"Visteon Looks Good, but Its Shares Are Too Pricey"
98,2021-04-17 09:31:00,"Pfizer CEO says a third vaccine dose is likely, Moderna updates booster shot timeline"
97,2021-04-17 10:07:00,UPDATE 3-China's Sinovac vaccine 67% effective against symptomatic infection -Chile report
96,2021-04-17 10:25:00,"Moderna, Pfizer Rebuffed J&J Proposal for Joint Vaccine Safety Exam, WSJ Reports"
95,2021-04-17 11:22:00,J&Js Vaccine Pause Could Have Ripple Effects for the World
94,2021-04-17 11:35:00,Stock Market Today With Jim Cramer: Buy These Stocks Over Pfizer
93,2021-04-17 11:42:00,Why Pfizer Shares Keep Moving Higher?
92,2021-04-17 11:44:00,Doctor: COVID-19 vaccines 'do lead to a really strong immune response'
91,2021-04-17 12:51:00,UPDATE 1-Pregnant women in UK told to have Pfizer or Moderna vaccines
90,2021-04-17 13:51:00,"Top Research Reports for UnitedHealth, Pfizer & Accenture"
89,2021-04-17 13:53:00,Vaccinating kids will be very important in getting to herd immunity: Expert
88,2021-04-17 14:57:00,The push to vaccinate farm workers against COVID-19
87,2021-04-17 15:45:00,'You can think of it like an annual flu shot': Doctor on possible COVID-19 booster shots
86,2021-04-17 15:54:00,There Is More To Pfizer Than The Covid Vaccine
85,2021-04-17 16:23:00,How much money will Pfizer and Moderna make from their booster shots?
84,2021-04-17 16:44:00,The Dow Rose 165 Points Because Everything Came Up Roses
76,2021-04-18 09:31:00,Should You Buy Pfizer in April?
75,2021-04-18 09:31:00,2 Biotech Start-Ups Are Searching for Cancers Hidden Weaknesses. What to Know.
77,2021-04-18 09:31:00,"Pfizer agreed to supply additional COVID-19 vaccines, says Japan's vaccine minister"
74,2021-04-18 09:31:00,UK hospitality chiefs warn on COVID passports in economy reopening plans
80,2021-04-18 09:31:00,More than 3 million people have died of COVID-19 and more than 140 million have been infected
81,2021-04-18 09:31:00,Moderna cuts UK COVID vaccine deliveries as pregnant women told mRNA jabs are safe
82,2021-04-18 09:31:00,Dubai expands vaccine eligibility in certain cases
78,2021-04-18 09:31:00,"UPDATE 1-Japanese PM, Pfizer CEO discuss delivery of additional vaccine doses in 2021 to Japan"
79,2021-04-18 12:47:00,UPDATE 1-U.S. parents begin to ask: Should my child get a COVID-19 shot?
73,2021-04-18 15:45:00,"UPDATE 2-South African variant may 'break through' Pfizer vaccine protection, but vaccine highly effective, Israeli study says"
57,2021-04-20 09:31:00,Pfizer (PFE) Gains As Market Dips: What You Should Know
64,2021-04-20 09:31:00,U.S. hits vaccine milestone despite rise in COVID cases
65,2021-04-20 09:31:00,What Does J&J's Pause Mean for Investors?
66,2021-04-20 09:31:00,UPDATE 3-Spain to trial mixing COVID vaccines after restricting AstraZeneca shot
63,2021-04-20 09:31:00,Bulgaria halts AstraZeneca vaccine for women under 60 at risk of thrombosis
